------WebKitFormBoundaryV1ocQnBBuNq8eokA
Content-Disposition: form-data; name="file"; filename="example_raw_data - Copy.csv"
Content-Type: text/csv

;Datum (Anlage);Zeit (Anlage);Ereignis;Error Number;Wind Speed (avg);Wind Speed (max);Wind Speed (min);Rotor Speed [rpm] (avg);Rotor Speed [rpm] (max);Rotor Speed [rpm] (min);Active Power (avg);Active Power (max);Active Power (min);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Reactive Power (avg);Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63;Feature 64;Feature 65;Feature 66;Feature 67;Feature 68;Feature 69;Feature 70;Feature 71;Feature 72;Feature 73;Feature 74;Feature 75;Feature 76;Feature 77;Feature 78;Feature 79;Feature 80;Feature 81;Feature 82
76;01.01.18;12:40:00;;;9,92;;;9,86;;;1707.0;;;348.0;;;;5,92;79,31;79,88;79,24;37,98;40,86;20,25;;;;;-509,28;;;;194,11;193,48;198,48;;;;;;;;;;50,01;;;;;;;;;;;;;10,80;;;;100,818;92,579;33,568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;01.01.18;12:50:00;;;11,85;;;1,24;;;-6.0;;;348.0;;;;5,85;73,72;73,84;72,37;36,39;40,91;20,23;;;;;-10,11;;;;9,92;10,67;9,48;;;;;;;;;;50,01;;;;;;;;;;;;;11,85;;;;99,742;91,454;33,349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;01.01.18;13:00:00;;;8,53;;;11,75;;;1862.0;;;342.0;;;;5,31;73,21;72,99;70,90;38,33;41,27;20,61;;;;;-592,30;;;;221,66;220,65;225,65;;;;;;;;;;50,01;;;;;;;;;;;;;9,38;;;;97,733;89,326;32,979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;01.01.18;13:10:00;;;9,81;;;12,46;;;2327.0;;;341.0;;;;5,13;79,50;78,96;76,61;39,93;42,15;21,14;;;;;-618,78;;;;260,85;260,19;266,58;;;;;;;;;;50,02;;;;;;;;;;;;;10,78;;;;96,092;87,751;33,035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;01.01.18;13:20:00;;;10,46;;;12,48;;;2345.0;;;336.0;;;;5,23;84,19;83,43;78,20;41,40;43,05;21,51;;;;;-632,91;;;;265,37;264,65;271,07;;;;;;;;;;50,01;;;;;;;;;;;;;11,46;;;;95,187;86,919;33,035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;01.01.18;13:30:00;;;11,16;;;12,45;;;2523.0;;;335.0;;;;4,85;89,73;88,94;79,05;42,86;44,09;21,52;;;;;-660,07;;;;274,23;273,23;280,35;;;;;;;;;;50,02;;;;;;;;;;;;;12,21;;;;94,832;86,647;33,043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;01.01.18;13:40:00;;;10,57;;;12,46;;;2444.0;;;337.0;;;;4,92;89,49;89,37;79,30;42,64;44,13;20,77;;;;;-673,34;;;;266,27;265,06;272,15;;;;;;;;;;50,03;;;;;;;;;;;;;11,57;;;;94,845;86,736;33,058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;01.01.18;13:50:00;;;10,03;;;12,47;;;2476.0;;;335.0;;;;4,96;87,80;88,10;79,40;42,07;43,78;20,77;;;;;-674,84;;;;271,81;270,52;277,49;;;;;;;;;;50,03;;;;;;;;;;;;;11,36;;;;95,012;86,944;33,072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;01.01.18;14:00:00;;;9,26;;;12,48;;;2273.0;;;330.0;;;;5,00;84,87;85,31;79,33;41,48;43,41;20,52;;;;;-637,44;;;;252,86;251,45;257,44;;;;;;;;;;50,04;;;;;;;;;;;;;10,30;;;;95,200;87,160;33,132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;01.01.18;14:10:00;;;9,28;;;12,47;;;2273.0;;;333.0;;;;4,91;82,40;82,90;79,20;40,98;42,99;20,43;;;;;-647,29;;;;253,04;251,48;257,22;;;;;;;;;;50,02;;;;;;;;;;;;;10,36;;;;95,237;87,199;33,206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;01.01.18;14:20:00;;;8,80;;;12,37;;;2031.0;;;336.0;;;;4,85;79,94;80,44;78,99;40,42;42,54;20,24;;;;;-616,64;;;;224,83;223,09;228,23;;;;;;;;;;50,02;;;;;;;;;;;;;9,60;;;;95,101;87,084;33,282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;01.01.18;14:30:00;;;8,33;;;12,45;;;1954.0;;;325.0;;;;4,84;75,46;75,94;78,57;39,85;41,97;20,04;;;;;-604,17;;;;222,49;220,90;225,76;;;;;;;;;;50,02;;;;;;;;;;;;;9,05;;;;94,655;86,602;33,297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;01.01.18;14:40:00;;;6,92;;;11,89;;;1381.0;;;321.0;;;;4,84;70,93;71,36;77,77;39,09;41,30;19,75;;;;;-523,63;;;;151,44;149,37;152,82;;;;;;;;;;50,03;;;;;;;;;;;;;7,85;;;;93,746;85,671;33,297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;01.01.18;14:50:00;;;7,77;;;12,16;;;1719.0;;;321.0;;;;4,88;67,13;67,55;76,90;38,60;40,48;19,34;;;;;-509,46;;;;196,57;194,82;198,68;;;;;;;;;;50,04;;;;;;;;;;;;;8,55;;;;92,499;84,373;33,266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;01.01.18;15:00:00;;;7,19;;;11,88;;;1449.0;;;321.0;;;;4,94;65,15;65,55;76,45;37,98;39,72;19,13;;;;;-517,60;;;;164,12;162,18;165,52;;;;;;;;;;50,02;;;;;;;;;;;;;8,01;;;;91,100;82,978;33,292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;01.01.18;15:10:00;;;7,73;;;12,13;;;1660.0;;;325.0;;;;4,99;62,55;62,94;75,72;37,50;38,92;18,93;;;;;-538,23;;;;189,85;188,06;191,87;;;;;;;;;;50,00;;;;;;;;;;;;;8,38;;;;89,623;81,487;33,265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;01.01.18;15:20:00;;;6,82;;;10,87;;;1074.0;;;324.0;;;;5,11;59,84;60,17;74,23;36,65;38,19;18,83;;;;;-487,97;;;;142,53;140,78;142,34;;;;;;;;;;50,00;;;;;;;;;;;;;7,21;;;;87,966;79,847;33,244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;01.01.18;15:30:00;;;6,85;;;11,35;;;1182.0;;;326.0;;;;5,00;59,56;59,45;73,83;37,07;38,09;19,62;;;;;-440,10;;;;148,36;146,91;148,79;;;;;;;;;;49,98;;;;;;;;;;;;;7,40;;;;86,170;78,046;33,160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;01.01.18;15:40:00;;;6,88;;;11,27;;;1151.0;;;325.0;;;;5,05;60,33;59,90;74,81;37,65;38,36;19,45;;;;;-383,02;;;;141,82;140,35;142,13;;;;;;;;;;49,99;;;;;;;;;;;;;7,36;;;;84,278;76,178;32,963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;01.01.18;15:50:00;;;6,01;;;10,04;;;792.0;;;319.0;;;;5,18;60,14;59,56;76,32;38,06;38,76;19,59;;;;;-344,44;;;;139,48;138,11;139,08;;;;;;;;;;49,97;;;;;;;;;;;;;6,48;;;;82,294;74,253;32,813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;01.01.18;16:00:00;;;6,29;;;10,43;;;876.0;;;320.0;;;;5,20;59,63;59,01;77,06;38,42;38,96;19,85;;;;;-327,60;;;;128,62;127,10;128,15;;;;;;;;;;49,98;;;;;;;;;;;;;6,75;;;;80,206;72,249;32,634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;01.01.18;16:10:00;;;6,83;;;11,13;;;1103.0;;;320.0;;;;5,15;59,84;59,21;78,15;38,93;39,15;20,12;;;;;-411,35;;;;141,69;140,23;141,76;;;;;;;;;;49,99;;;;;;;;;;;;;7,29;;;;78,171;70,310;32,555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;01.01.18;16:20:00;;;7,93;;;12,29;;;1736.0;;;313.0;;;;4,94;63,16;62,56;79,91;39,74;39,41;20,54;;;;;-520,45;;;;205,74;204,11;207,14;;;;;;;;;;49,98;;;;;;;;;;;;;8,55;;;;76,487;68,749;32,430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

